,title,body,rating,product
0,Super comfortable and long lasting mouse,"Bought this mouse after a long research so writing here my review after 2 years of usage.For those complaining aboit long keys and uncomfortable usage, let me tell you this is complete mouse and not mice so you need to understand difference. This is much more comfortable than mice if you work for long hours.Now coming to delivery. Amazon did great job in delivering super fast also deal on this mouse was an add on.Now coming to quality. This is heavy duty built mouse for longer run. Working like charm even after 2 years of usage. I have tried several different brands like Logitech, HP, etc but no one stand near to this.Some others are complaining about very thin wire. Kimdly note there are several sellers on amazon so buy only from trusted sellers with higher ratings.With return policy available at amazon you can try it once based on my personal experience.You can ask freely whatever you want to ask regarding buying through direct message in my profile and If you found this helpful give a thumbs up",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
1,Contry of origin is china,I specifically ordered this item because it said country of origin is India. When I open the box it said maid in China. Why are you misleading the people by false advertising?,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
2,Simple and good,"Moved back to a wire mouse, as my wireless optical logitech mouse started giving problems,, anyways i am happy with this, as i dont have to bother about battery,, and it seems nice and rugged..",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
3,Amazon hiding country of origin of items from customers.,This is Chinese product. Amazon conceals country of manufacture of the product before choosing a product from the customer. Quality standards differ from country to country and Amazon is violating consumer rights.,1.0,Dell MS116 1000DPI USB Wired Optical Mouse
4,Genuine Dell mouse,"Its an excellent mouse in this price range. Original genuine product with warranty card and online verify card. The packaging is excellent with lot of tamper evident seals so you can assure that the product you received is authentic and unused one.Some of the pros include,~Black matte finish body with no annoying paint brand logo on top and button so no reflections nor paint washout on usage.~Cable length and mouse size in medium range so suitable for most and can be used for both desktop and laptop.~Under the mouse the stand feet is curved continuous one made from same plastic and thus less chance to accumulate dirt.~cursor moves very fast and accurate, no false moves.Some of the cons include these~Scroll wheel is not friction less instead step based so some sound and resistance there when scrolling.~Click sound there but a pleasant one similar like keyboard key press sound.But these cons will not be problem for many considering its performance and accuracy.Reducing 1 star due to step based scroll wheel which is bit hard to use especially when scrolling to top.Overall an excellent general purpose mouse!",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
5,Not working,"I buy this product from amazon after 15 days it's not working. Communicate with amazon customers care they told me to call Dell customer care. And they reply me to call me after 2,3 days. This is happening again and again.",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
6,Most Affordable & durable mouse ever in this price category,"Giving my review after 2 years of usage.I plan to purchase it again after 1 or 2 months, since it is wearing off due to gaming.I use it for all day-to-day tasks (including Gaming, mostly CS:GO). I know it's not a gaming mouse, but I don't have a gaming PC, so it doesn't matter. You can at least reach till the ranks of Gold Nova Master using this mouse in CS.PROs :-1. Simple in design and looks.2. Perfect for small and medium-sized palm.3. It's quite durable/long-lasting. If you use it for normal tasks(not gaming), it can easily last for 3+ years.4. Good mouse for beginners in FPS Games.CONs:-1. There aren't any, considering it's price point.",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
7,Dell MS116 1000DPI USB Wired Optical Mouse - I could sniff the quality 😊,"As a kid, I remember when my US-based relations used to bring me gifts from USA; these gifts had  a aroma to them - a kind of strong sterile aroma. When I opened the Dell Mouse package, I got the same aroma and of course, the mouse worked amazingly well - unlike the new Genius mouse that barely worked for two weeks before scroll wheel failed.This Dell Mouse has a Usb cable and is a plug-and-play device. It's speed, scroll speed etc can all be controlled from the Windows Control Panel. It is Ergonomic, smooth, and easy to use.I'm using the product in an office environment. As for gaming, I think this might not be a suitable device because the right and left click buttons are a bit 'heavy' i.e requires a bit extra pressure for the click. So, it is excellent for office and regular work but not for gaming.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
8,"Great brands, great service","A simple basic wired optical mouse. Specifically brought a Dell branded product for my Dell desktop. Stopped working within 1 1/2 months. The return window had closed on Amazon, however I called up their customer service and explained the problem. They immediately shared the Dell support hotline with me. On calling Dell, the support person asked me to perform some simple checks, take a few photos and email it to them. Within a few hours, they confirmed they would send a free replacement. And in less than 2 days thereafter, the replacement mouse arrived just as promised. For a mouse that costs less than Rs.300, this was truly delightful service. No wonder Dell is legendary for its support. Great brands are built on the foundation of great service.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
9,Second purchase I have done ... Last only 6 months,This is my second purchase of this mouse. The average life of this mouse is 6 to 8 months after which the left click starts to be recognised as a right click or the mouse scroll speed and the web portal scroll lags by a huge margin giving sub optimal performance of the web page being worked upon. The first 6 months will be awesome but after that it is a pain.,2.0,Dell MS116 1000DPI USB Wired Optical Mouse
10,Authentic dell mouse with 3 year warranty,I received the mouse sealed in an authentic dell box with dell sticker to scratch and check authenticity. I scanned the bar code and checked it's genuine. Also as per what's mentioned on box its 3 year warranty on this. Value for money for the price from a reliable brand dell.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
11,"Basic Build Quality and basic handling, not very ergonomic  & DPI sensitivity is good",Basic Build Quality if I compare to its older  model (harder plastic) and light in weight not very ergonomic if someone wants to do graphics work but good for basic handling & DPI sensitivity is good came with authentication card (very funny for a country which makes everything and copies of almost everything),3.0,Dell MS116 1000DPI USB Wired Optical Mouse
12,The mouse works well even on my shiny table surface,"The mouse works well even on my shiny table surface. The build quality is decent. I just hope the mouse shape was bit more ergonomic. The current shape is bit flat and doesn't have good feel in hand.But that is offset by the ability of the mouse to work on pretty much any surface. I had a HP mouse earlier in the same price range, but that required mouse pad if the surface was even a tiny bit shiny. But this Dell mouse works quite well and I think is worth buying",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
13,Solid mouse,"It was a bit bigger than i expected so do check the dimensions properly before ordering but the size actually feels good on the fingers. It has long buttons and fits smoothly in the hand, although might take a bit of getting used to (esp if you use small mouses) i have no complaints regarding the build quality, its top-notch and worth the price. I bought it yesterday and have a feeling this will last long.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
14,Lightweight and Comfortable Mouse!,"I wanted to purchase a standard computer mouse with good good DPI for gaming and I came across this mouse.The top part of the mouse is matte black without any logo engraving thus giving it a clean and minimal look. The form factor is just the right size making it easy to hold, the tracking speed is also good for playing PC games.This mouse is an easy choice for anyone looking for a basic mouse with good looks, comfort and performance.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
15,Best one,"The best wired mouse I have ever used. It's really good, feels good in hand. For this price i think it the good one out there. Soft clicks, flexible grip and strong build. Packing is good from Dell. I have been using it for a couple of days and it's good but the final test will be in the long run. Have to see how it will do after a year or so.",5.0,Dell MS116 1000DPI USB Wired Optical Mouse
16,Best in the price.,I don't know why there are so many negative reviews. I ordered this mouse anyway and I'm very happy with it. It is easy to hold and light weight. Nice and clicky buttons and 1 year warranty too. It is better than HP's one in this range. I've used both.,5.0,Dell MS116 1000DPI USB Wired Optical Mouse
17,Left click a little slow response,I ordered the same model I had earlier. But this mouse button is not as responsive as the earlier one. I couldn't return it due to time it takes for a replacement and the covid issue dint allow me to go to near by store. So other issues with it though and packing was good. Only for the mouse click response I removed one star,4.0,Dell MS116 1000DPI USB Wired Optical Mouse
18,Country of origin Made in China,"It's origin country is China , not 🚫 India",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
19,Very poor quality,"I have used up 4 of the 5 mouse/ mice I bought in less than 8 months.The right mouse button is the problem - stops working after a few days. In one case the scroll stopped. In 2 cases, the pointer, clicks- all were not working.Horrible.This is a particularly bad model- my exprience with other Dell models of mouse have not been bad",1.0,Dell MS116 1000DPI USB Wired Optical Mouse
20,Nice mouse with reasonable price.,"Nice option in this price. It does make good clicking sound, but i am fine with that.Light weight and good size for big size hand.Using it from 2 weeks and working nice till now.My usage is daily office, not gaming at all.I researched for more then 2 weeks and i was not able to jutify the cost of other expensive mouse. Mouse is like any other regular plastic, a small chip board and wire or may be wireless, how it can be 1k+.I",4.0,Dell MS116 1000DPI USB Wired Optical Mouse
